---,AugmentTag,OwnerCharacterTag,Operation,ValuePerStack,SelectionWeight,MaxStack,Rarity,TargetAbilityTag,StatTag,Definition,bEnabled,bCountAsLegendarySlot
Augment_Common_BaseDamage_Add,"(TagName=""Augment.Definition.Common.BaseDamage"")","(TagName=""Character.Common"")","Add","10.000000","50","5","Common","(TagName="""")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_BaseDamage.DA_Augment_Common_BaseDamage","True","False"
Augment_Common_CritChance_Add,"(TagName=""Augment.Definition.Common.CritChance"")","(TagName=""Character.Common"")","Add","10.000000","50","5","Common","(TagName="""")","(TagName=""CombatStat.CritChance"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_CritChance.DA_Augment_Common_CritChance","True","False"
Augment_Common_Defense_Add,"(TagName=""Augment.Definition.Common.Defence"")","(TagName=""Character.Common"")","Add","10.000000","50","5","Common","(TagName="""")","(TagName=""CombatStat.Defense"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Defense.DA_Augment_Defense","True","False"
Augment_Common_MaxHealth_Multiply,"(TagName=""Augment.Definition.Common.MaxHealth"")","(TagName=""Character.Common"")","Multiply","20.000000","50","5","Common","(TagName="""")","(TagName=""CombatStat.MaxHealth"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_MaxHealth.DA_Augment_Common_MaxHealth","True","False"
Augment_Common_MaxShield_Multiply,"(TagName=""Augment.Definition.Common.MaxShield"")","(TagName=""Character.Common"")","Multiply","20.000000","50","5","Common","(TagName="""")","(TagName=""CombatStat.MaxShield"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_MaxShield.DA_Augment_Common_MaxShield","True","False"
Augment_Common_ShieldRegen_Multiply,"(TagName=""Augment.Definition.Common.ShieldRegen"")","(TagName=""Character.Common"")","Multiply","20.000000","50","5","Common","(TagName="""")","(TagName=""CombatStat.ShieldRechargeRate"")","/Game/NeoSanctum/Data/Augment/Common/DA_Augment_Common_ShieldRegen.DA_Augment_Common_ShieldRegen","True","False"
Augment_Engineer_Barrier_MaxHealth_Multiply,"(TagName=""Augment.Definition.Engineer.Barrier.MaxHealth"")","(TagName=""Character.Player.Engineer"")","Multiply","20.000000","100","5","Common","(TagName=""Ability.Engineer.Barrier"")","(TagName=""CombatStat.MaxHealth"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_Barrier_MaxHealth.DA_Augment_Barrier_MaxHealth","True","False"
Augment_Engineer_ShotgunFire_Damage_Add,"(TagName=""Augment.Definition.Engineer.ShotgunFire.Damage"")","(TagName=""Character.Player.Engineer"")","Add","20.000000","100","5","Common","(TagName=""Ability.Engineer.ShotgunFire"")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_ShotgunFire_Damage.DA_Augment_ShotgunFire_Damage","True","False"
Augment_Engineer_ShotgunFire_FireRate_Multiply,"(TagName=""Augment.Definition.Engineer.ShotgunFire.FireRate"")","(TagName=""Character.Player.Engineer"")","Multiply","10.000000","100","5","Common","(TagName=""Ability.Engineer.ShotgunFire"")","(TagName=""CombatStat.FireRate"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_ShotgunFire_FireRate.DA_Augment_ShotgunFire_FireRate","True","False"
Augment_Engineer_SpawnTurret_Damage_Add,"(TagName=""Augment.Definition.Engineer.SpawnTurret.Damage"")","(TagName=""Character.Player.Engineer"")","Add","20.000000","100","5","Common","(TagName=""Ability.Engineer.SpawnTurret"")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_SpawnTurret_Damage.DA_Augment_SpawnTurret_Damage","True","False"
Augment_Engineer_SpawnTurret_FireRate_Multiply,"(TagName=""Augment.Definition.Engineer.SpawnTurret.FireRate"")","(TagName=""Character.Player.Engineer"")","Multiply","10.000000","100","5","Common","(TagName=""Ability.Engineer.SpawnTurret"")","(TagName=""CombatStat.FireRate"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_SpawnTurret_FireRate.DA_Augment_SpawnTurret_FireRate","True","False"
Augment_Engineer_SpeedBuff_BuffPower_Multiply,"(TagName=""Augment.Definition.Engineer.SpeedBuff.BuffPower"")","(TagName=""Character.Player.Engineer"")","Multiply","20.000000","100","5","Common","(TagName=""Ability.Engineer.SpeedBuff"")","(TagName=""CombatStat.FireRateBuff"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_EngineerSpeedBuff_BuffPower.DA_Augment_EngineerSpeedBuff_BuffPower","True","False"
Augment_Ranger_AutoFire_Damage_Add,"(TagName=""Augment.Definition.Ranger.AutoFire.Damage"")","(TagName=""Character.Player.Ranger"")","Add","20.000000","100","5","Common","(TagName=""Ability.Ranger.AutoFire"")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_AutoFire_Damage.DA_Augment_AutoFire_Damage","True","False"
Augment_Ranger_AutoFire_FireRate_Multiply,"(TagName=""Augment.Definition.Ranger.AutoFire.FireRate"")","(TagName=""Character.Player.Ranger"")","Multiply","10.000000","100","5","Common","(TagName=""Ability.Ranger.AutoFire"")","(TagName=""CombatStat.FireRate"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_AutoFire_FireRate.DA_Augment_AutoFire_FireRate","True","False"
Augment_Ranger_Grenade_Damage_Add,"(TagName=""Augment.Definition.Ranger.Grenade.Damage"")","(TagName=""Character.Player.Ranger"")","Add","20.000000","100","5","Common","(TagName=""Ability.Ranger.Grenade"")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_Grenade_Damage.DA_Augment_Grenade_Damage","True","False"
Augment_Ranger_ProjectileShot_Damage_Add,"(TagName=""Augment.Definition.Ranger.ProjectileShot.Damage"")","(TagName=""Character.Player.Ranger"")","Add","20.000000","100","5","Common","(TagName=""Ability.Ranger.ProjectileShot"")","(TagName=""CombatStat.Damage"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_Projectile_Damage.DA_Augment_Projectile_Damage","True","False"
Augment_Ranger_SpeedBuff_BuffPower_Add_1,"(TagName=""Augment.Definition.Ranger.SpeedBuff.BuffPower"")","(TagName=""Character.Player.Ranger"")","Add","20.000000","100","5","Common","(TagName=""Ability.Ranger.SpeedBuff"")","(TagName=""CombatStat.FireRateBuff"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_RangerSpeedBuff_BuffPower.DA_Augment_RangerSpeedBuff_BuffPower","True","False"
Augment_Ranger_SpeedBuff_BuffPower_Add_2,"(TagName=""Augment.Definition.Ranger.SpeedBuff.BuffPower"")","(TagName=""Character.Player.Ranger"")","Add","20.000000","100","5","Common","(TagName=""Ability.Ranger.SpeedBuff"")","(TagName=""CombatStat.ReloadSpeedBuff"")","/Game/NeoSanctum/Data/Augment/Ranger/DA_Augment_RangerSpeedBuff_BuffPower.DA_Augment_RangerSpeedBuff_BuffPower","True","False"
Augment_Engineer_Barrier_Cooldown_Multiply,"(TagName=""Augment.Definition.Engineer.Barrier.Cooldown"")","(TagName=""Character.Player.Engineer"")","Multiply","-10.000000","100","5","Epic","(TagName=""Ability.Engineer.Barrier"")","(TagName=""CombatStat.Cooldown"")","/Game/NeoSanctum/Data/Augment/Engineer/DA_Augment_Barrier_CoolDown.DA_Augment_Barrier_CoolDown","True","False"
